9078213954729, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -83
9082827156190, 11, RFID-AP, 00:22:f7:21:d0:38, -79
9082827156190, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -83
9082827156190, 11, eduroam, 1c:aa:07:7b:28:00, -80
9082827156190, 11, NaoNet, 00:0c:f6:6c:cf:94, -93
9087511549900, 11, RFID-AP, 00:22:f7:21:d0:38, -79
9087511549900, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -81
9087511549900, 11, eduroam, 1c:aa:07:7b:28:00, -80
9087511549900, 11, NaoNet, 00:0c:f6:6c:cf:94, -93
9087511549900, 11, TUvisitor, 1c:aa:07:7b:28:01, -81
9092065930360, 11, RFID-AP, 00:22:f7:21:d0:38, -83
9092065930360, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -81
9092065930360, 11, TUvisitor, 1c:aa:07:7b:28:01, -81
9092065930360, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -84
9092065930360, 11, , 6c:70:9f:eb:63:a0, -85
9103608760283, 11, RFID-AP, 00:22:f7:21:d0:38, -81
9103608760283, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -81
9103608760283, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -84
9103608760283, 11, , 6c:70:9f:eb:63:a0, -84
9103608760283, 11, CrowdGuest, 6e:a1:63:eb:9f:70, -87
9103608760283, 11, , 6c:70:9f:eb:63:a1, -88
9110915189036, 11, RFID-AP, 00:22:f7:21:d0:38, -79
9110915189036, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -81
9110915189036, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -85
9110915189036, 11, , 6c:70:9f:eb:63:a0, -86
9110915189036, 11, CrowdGuest, 6e:a1:63:eb:9f:70, -87
9110915189036, 11, , 6c:70:9f:eb:63:a1, -88
9110915189036, 11, TUvisitor, 1c:aa:07:7b:28:01, -83
9136243062006, 11, RFID-AP, 00:22:f7:21:d0:38, -88
9136243062006, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -86
9136243062006, 11, , 6c:70:9f:eb:63:a0, -83
9136243062006, 11, TUvisitor, 1c:aa:07:7b:28:01, -83
9144490974177, 11, RFID-AP, 00:22:f7:21:d0:38, -78
9144490974177, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -86
9144490974177, 11, , 6c:70:9f:eb:63:a0, -88
