201976142474, 2, tudelft-dastud, 1c:aa:07:7b:39:1d, -75
201976142474, 2, tudelft-dastud, 1c:aa:07:b0:7a:bd, -76
201976142474, 2, C150BRS4, 00:22:f7:20:a1:98, -86
201976142474, 2, mfold-dlink, 00:26:5a:a9:99:46, -83
201976142474, 2, mfold-linksys, 00:25:9c:ca:87:ee, -89
201976142474, 2, TUvisitor, 1c:aa:07:6e:31:ae, -78
201976142474, 2, eduroam, 1c:aa:07:7b:39:1f, -76
201976142474, 2, eduroam, 1c:aa:07:b0:80:c0, -76
201976142474, 2, Router_Joost, 48:f8:b3:40:f1:a9, -85
201976142474, 2, 21888038, c8:d3:a3:16:92:e6, -86
201976142474, 2, TUvisitor, 1c:aa:07:7b:37:01, -77
204829133058, 2, hotspot_mike, 60:36:dd:cb:c1:4f, -47
204829133058, 2, autosound, 80:ea:96:eb:1e:fc, -59
204829133058, 2, autosound, 80:ea:96:eb:1e:fd, -68
204829133058, 2, eduroam, 1c:aa:07:7b:39:10, -64
204829133058, 2, SLDE-™-2, 5c:96:9d:65:76:8d, -65
204829133058, 2, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -75
204829133058, 2, NaoNet3, 00:0c:f6:a6:3c:e8, -75
204829133058, 2, TRIBLER, e0:3f:49:09:d9:98, -70
204829133058, 2, TUvisitor, 1c:aa:07:7b:39:11, -64
204829133058, 2, tudelft-dastud, 1c:aa:07:7b:39:12, -64
204829133058, 2, TUvisitor, 1c:aa:07:b0:7a:b1, -65
204829133058, 2, TRIBLER, e0:3f:49:09:d9:9c, -82
204829133058, 2, TUvisitor, 1c:aa:07:b0:7a:be, -76
204829133058, 2, tudelft-dastud, 1c:aa:07:7b:37:02, -78
204829133058, 2, TUvisitor, 1c:aa:07:7b:39:1e, -75
